# Simulation 3 (Data loaded from a file),,
# 339 data points written for 3 variables.,,
#,,
# Time (s),Altitude (m),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds,,
# Event LAUNCH occurred at t=0 seconds,,
0.01,-0.000428,1013
0.02,-0.0003049,1013
0.03,-0.0001817,1013
0.04,-0.00005857,1013
0.05,0.0000652,1013
0.06,0.0004527,1013
0.07,0.002,1013
0.08,0.004,1013
0.09,0.008,1013
0.1,0.014,1013
# Event LIFTOFF occurred at t=0.11 seconds,,
0.11,0.023,1013
0.12,0.035,1013
0.13,0.051,1013
0.14,0.071,1013
0.15,0.096,1013
0.16,0.126,1013
0.17,0.162,1013
0.18,0.204,1013
0.19,0.253,1013
0.2,0.31,1013
0.21,0.375,1013
0.22,0.449,1013
0.23,0.532,1013
0.24,0.626,1013
0.25,0.73,1013
0.259,0.835,1013
0.267,0.939,1013
# Event LAUNCHROD occurred at t=0.275 seconds,,
0.275,1.043,1013
0.287,1.212,1013
0.304,1.498,1013
0.33,1.983,1013
0.369,2.801,1013
0.409,3.747,1013
0.451,4.783,1013
0.495,5.974,1013
0.545,7.406,1012
0.595,8.931,1012
0.645,10.544,1012
0.687,11.961,1012
0.718,13.061,1012
0.747,14.085,1012
0.775,15.113,1011
0.805,16.257,1011
0.842,17.694,1011
0.892,19.713,1011
0.942,21.81,1011
0.992,23.985,1010
1.042,26.237,1010
1.089,28.451,1010
1.127,30.242,1010
1.172,32.472,1009
1.222,34.99,1009
1.272,37.577,1009
1.322,40.234,1009
1.36,42.295,1008
1.394,44.181,1008
1.43,46.16,1008
1.48,49.02,1008
1.53,51.94,1007
1.569,54.267,1007
1.616,57.115,1007
# Event BURNOUT occurred at t=1.65 seconds,,
1.65,59.191,1006
1.7,62.196,1006
1.75,65.154,1006
1.8,68.065,1005
1.85,70.932,1005
1.9,73.753,1005
1.95,76.531,1004
2,79.265,1004
2.05,81.956,1004
2.1,84.605,1003
2.15,87.212,1003
2.2,89.778,1003
2.25,92.304,1002
2.3,94.789,1002
2.35,97.234,1002
2.4,99.641,1002
2.45,102.008,1001
2.5,104.338,1001
2.55,106.629,1001
2.6,108.883,1000
2.65,111.101,1000
2.7,113.281,1000
2.75,115.426,999.7
2.8,117.535,999.5
2.85,119.608,999.2
2.9,121.647,999
2.95,123.651,998.7
3,125.62,998.5
3.05,127.555,998.3
3.1,129.457,998.1
3.15,131.325,997.8
3.2,133.161,997.6
3.25,134.964,997.4
3.3,136.734,997.2
3.35,138.473,997
3.4,140.179,996.8
3.45,141.854,996.6
3.5,143.497,996.4
3.55,145.109,996.2
3.6,146.691,996
3.65,148.241,995.9
3.7,149.761,995.7
3.75,151.251,995.5
3.8,152.711,995.3
3.85,154.142,995.2
3.9,155.543,995
3.95,156.915,994.8
4,158.258,994.7
4.05,159.572,994.5
4.1,160.858,994.4
4.15,162.115,994.2
4.2,163.344,994.1
4.25,164.545,994
4.3,165.717,993.8
4.35,166.862,993.7
4.4,167.979,993.5
4.45,169.068,993.4
4.5,170.129,993.3
4.55,171.164,993.2
4.6,172.171,993.1
4.65,173.151,992.9
4.7,174.105,992.8
4.75,175.032,992.7
4.8,175.933,992.6
4.85,176.807,992.5
4.9,177.655,992.4
4.95,178.477,992.3
5,179.273,992.2
5.05,180.043,992.1
5.1,180.788,992
5.15,181.506,992
